tr	ota
nobranlık	نوبرانلق
havat	خوات
kuvve-i lamise	قوۀ لامسه
frijider	فريژيدر
vaşak	واشاق
ileride	ايلريده
hadin-i kadim	خدين قديم
dü-vazdeh	دوازده
üslupsuzluk	اسلوبسزلق
hic	هيج
tahsinat	تحسينات
tam bölen	تام بولن
perişan	پريشان
para çantası	پاره چانطه سي
serfiraz	سرفراز
anarşistleşme	آنارشيستلشمه
asay	آساي
eşilme	اشيلمه
telh	تلخ
reşad-penah	رشاد پناه
hamata	حماطه
çerb-dest	چرب دست
keneler	كنه لر
düzen	دوزن
avcı	آوجي
humbara ocağı	خمبره اوجاغي
kartograf	قارتوغراف
azar-ı dil	آزار دل
ektoderm	اكطودرم
zeirat	زئيرات
sabbar	صبار
tarz-ı cedid	طرز جديد
istirca	استرجاع
naz-perverd	ناز پرورد
alat-ı cariha	آلات جارحه
boşanma davası	بوشانمه دعواسي
kavb	قوب
teeyyüd	تأيد
yevmen	يومًا
humma	حما 
otav	اوطاو
gelin	گلين
nuşadur	نوشادر
masbah	مصبح
iltica-gah	التجاگاه
alucra	آلوجره
li-aynihi	لعينه
hüsnütelakki	حسن تلقي
kirizma	كيريزمه
rıhvet	رخوت
sipariş	سپارش
eli boş	الي بوش
pepelik	پپه لك
gürgan	گرگان
yazılı hukuk	يازيلي حقوق
müctehez	مجتهز
mesmese	مثمثه
manej	مانژ
infikak	انفكاك
mühürcülük	مهرجيلك
bazil	باذل
kılafet	قلافت
alptekin	آلپ تكين
kalay	قلاي
huruf-ı asliye	حروف اصليه
katla	قتلا 
gamir	غامير
tenize-i kuh	تنيزۀ كوه
basir	باسر
denetleyici	دڭتله ييجي
icare-i münakide	اجارۀ منعقده
sivilleştirme	سيويللشديرمه
kalizem	قليذم
kevs	كوث
eğitmen	اگيتمن
abdürrafi	عبد الرافع
erfeş	ارفش
oğlak dönencesi	اوغلاق دوننجه سي
mütesaviyüt-tarafeyn	متساوي الطرفين
çizgi	چيزگي
asy	عصي
hacim	هاجم
kötüleştirme	كوتولشديرمه
firkat	فرقت
tevazu	تواضع
dürre	دره
akrah	اقرح
husake	حساكه
çapkınlık	چاپقينلق
mütealim	متعالم
yalvaç	يالاواچ
kaykılma	قايقيلمه 
bulama	بولامه 
alt takım	آلت طاقيم
iki buçukluk	ايكي پچوقلق
zeman-ı vusul	زمان وصول
serasker	سرعسكر
derinlik kayaçları	درينلك قاياچلري
seloteyp	سلوتيپ
bağrışmak	باغريشمق
put-perest	پوتپرست
erboğa	ار بوغه
sıdıka	صديقه
tane-zen	طعنه زن
mezon	مزون
müsaneha	مسانحه
süngülenmek	سونگولنمك
çevrimli	چوريملي
yıldızili	يلدز ايلي
cezzab	جذاب
biyel	بييل
kihal	كهال
hasis	خسيس
kesm	كثم
haninül-ciz	حنين الجذع
tahtani	تحتاني
kargaşa	قارغاشه
sanayileşme	صنايعلشمه
münekkah	منقح
homoseksüel	خوموسكسوئل
eğritmek	اگريتمك
emici tüyler	اميجي تويلر
bürehne	برهنه
yare-i hicran	يارۀ هجران
hurde-gir	خرده گير
hatunsaray	خاتون سراي
iade	اعاده
şumastar	شمسطار
müteverrid	متورد
etime-i lezize	اطعمۀ لذيذه
şemet	شمط
ene kemiği	اڭه كميگي
horasanlı	خراسانلي
keth	كتح
ağartma	آغارتمه 
pudralamak	پودره لامق
munfatır	منفطر
hezar-pare	هزارپاره
resm-i gül	رسم گل
fıkarat	فقرات
vatni	وطني
bahçe	باغچه
dünya görüşü	دنيا گوروشي
indira	اندرا
musap	مصاب
yavrucak	ياوروجق
çekiştiricilik	چكيشديريجيلك
utruş	اطروش
ecemm	اجم
macin	ماجن
kıdemli üstçavuş	قدملي أوست چاووش
sürme mantarıgiller	سورمه مانطاريگيللر
hubüs	خبث
kısas etmek	قصاص ايتمك
başir	باشر
göllenme	گوللنمه
behişt-hıram	بهشت خرام
müşkil-güşayan	مشكلگشايان
iyilikseverlik	اييلك سورلك
kaval tüfek	قوال توفنك
havlayış	هاولاييش
arabalık	آرابه لق
berendi	برندي
revaid	روائد
vera	ورا
çekiniş	چكينيش
tenadd	تناد
mütenavilin	متناولين
özkan	أوز قان
müctess	مجتث
maazım	معاظم
cevzak	جوزاك
jips	ژيپس
ergüden	ار گودن
lokma başlığı	لقمه باشلغي
müteanik	متعانق
istilbas	استلباث
apandisit	آپانديسيت
kerihül-manzar	كريه المنظر
bad-ı cenubi	باد جنوبي
maristan	مارستان
kefaret	كفارت
çaktırılma	چاقديريلمه 
inale	اناله
kurgulamak	قورغولامق
küştegan-ı zinde	كشتگان زنده
indirgenebilir	اينديرگنه بيلير
saçsız	صاچسز
semizlik	سميزلك
ufak para	اوفاق پاره
unluk	اونلق
loşlaşmak	لوشلاشمق
sücud	سجود
sürtülme	سورتولمه
cebel-i bura	جبل برع
kavratma	قاوراتمه 
ısfahan-selmek	اصفهان سلمك
gümrük kanunu	گومروك قانوني
sarı	صاري
sosyal tabaka	صوسيال طبقه
hast-gari	خواستگاري
hizmetkarlık	خدمتكارلق
sehavet	سخاوت
muvakkir	موقر
yad-kerd	يادكرد
doğululuk	طوغوليلق
kabakulak olmak	قباقولاق اولمق
poka	پوقه
diger-bin	ديگر بين
şampuanlama	شامپوآنلامه 
karşı karşıya	قارشي قارشي يه
buhar	بخار
şufeyre	شفيره
kayırtmak	قاييرتمق
taammuk	تعمق
çetince	چتينجه
dretnot	درتنوط
fena fiş-şeyh	فنا في الشيخ
tedmis	تدميس
sarkaçlama	صارقاچلامه 
pençeletme	پنچه لتمه
meşkuk	مشقوق
yafer	يافر
berber koltuğu	بربر قولتوغي
arıcı	آريجي
dürmece	دورمه جه
ateş-mizac	آتشمزاج
tesviye-i deyn	تسويۀ دين
tahtaboş	تخته پوش
totalitarizm	طوتاليتاريزم
ema-yı galiza	امعاي غليظه
asafane	آصفانه
bakkal	بقال
canlanmak	جانلانمق
saf-derunane	صافدرونانه
mukaddemat	مقدمات
nefret-bahş	نفرتبخش
beylan	بيلان
elleys	الليس
kan aktarımı	قان آقتاريمي
ibtaliyat	ابطاليات
ria	ريعه
börtük	بورتوك
iti	ايتي
korida	قوريده
zefur	ذفور
eş eksenli	اش اكسنلي
hasar	حصر
kükürtlemek	كوكورتله مك
ıyş	عيش
ardtule	آردتوله
gürdal	گوردال
tuzaklamak	طوزاقلامق
hilafen	خلافًا
tutkallanmak	طوتقاللانمق
cem-i zıddeyn	جمع ضدين
hevahah	هواخواه
mit	ميت
raziz	رضيض
aftab-ru	آفتابرو
neyrenc	نيرنج
haylice	خيليجه
hüşdar	هوشدار
nebatat bahçesi	نباتات باغچه سي
rokoko	روقوقو
ban	بان
özeni	أوزني
benefşe	بنفشه
tedaüm	تداؤم
erginleşmek	ارگينلشمك
gerekcabak	گركجبق
tembel	تنبل
muhavvef	مخوف
yummak	يوممق
valay	والاي
yiğithan	ييگيتخان
müterazi	متراضي
afilin	آفلين
inkılapçılık	انقلابجيلق
isfendan	اسفندان
bevadir	بوادر
emperyalizm	امپرياليزم
apartman	آپارتمان
rim	ريم
oğlancık	اوغلانجق
arz-ı aşariye	ارض اعشاريه
ehl-i dikkat	اهل دقت
yazgıcılık	يازغيجيلق
ritl	رتل
posta yapmak	پوسته ياپمق
kelaseng	كلاسنگ
aşağılatma	آشاغيلاتمه 
kenin	كنين
ihbar-name	اخبارنامه
ekbad	اكباد
sahtevekar	ساخته وقار
munsadı	منصدع
beladet	بلادت
küfürbaz	كفرباز
piramidal	پيراميدال
kuteyfa	قطيفه
celde	جلده
baharatçı	بهاراتجي
dikim	ديكيم
kesik hava	كسيك هوا
tetavvus	تطوس
gözetletmek	گوزتلتمك
el etmek	ال ايتمك
halefiyet	خلفيت
minen	منن
hafriyatçı	حفرياتجي
nedm	ندم
mahv	محو
sempatik	سمپاتيك
paydos vakti	پايدوس وقتي
açısal	آچيسال
daragım	ضراغم
çağrı	چاغري
bül-game	بلگامه
zabt	ضبط
daygam	ضيغم
fuarcı	فوآرجي
cinai	جنائي
udm	ادم
köçek	كوچك
eşelenmek	اشه لنمك
eş zamanlı	اش زمانلي
mışrak	مشراق
zenbil	زنبيل
devriklik	دوريكلك
tevakkuf mahalli	توقف محلي
namık	نامق
iştirakçi	اشتراكجي
domino	طومينو
soruşturmacı	صوروشديرمه جي
cevali	جوالي
deldirme	دلديرمه
müstektib	مستكتب
reşş	رش
kar-ı akıl	كار عقل
nestram	نسترام
istibhas	استبحاث
şahim	شحيم
muktehim	مقتحم
insaniyet-i kübra	انسانيت كبرا 
belletmek	بللتمك
hüviyet	هويت
adsız	آدسز
ergazi	ارغازي
ratibe-har	راتبه خوار
amfizem	آمفيزم
insanoğlu	انسان اوغلي
hallüsinasyon	خاللوسيناسيون
hiram	خرام
parkeci	پاركه جي
zaraat	ضراعت
nevvar	نوار
şeffaflaştırma	شفافلاشديرمه 
mesv	مسو
düzenlemek	دوزنله مك
hizmet	خدمت
lokmacı	لقمه جي
melaib	ملاعب
mirtal	مرطال
ceyder	جيدر
meşkure	مشكوره
na-hoş-güvar	ناخوشگوار
nafice	نافجه
sefal	سفال
kamuran	كامران
müsabeğa	مسابغه
bavlı	باولي
armaz	عرمض
çamlıyayla	چاملي يايله
kurt bilimci	قورت بيليمجي
külyutmaz	كول يوتماز
mütemayiz	متمايز
kuzey kutbu	قوزي قطبي
ceriz	جريض
hırrif	حريف
diyeke	ديكه
nazra-gah	نظره گاه
ebced	ابجد
ahter-gu	اخترگو
sikatif	سيقاتيف
ırsi	عرسي
diş hekimi	ديش حكيمي
talyum	طاليوم
paşa kapısı	پاشا قاپيسي
fincancı	فنجانجي
zeytinyağlı sarma	زيتون ياغلي صارمه
nuşirevan	نوشيروان
kilermeni	كل أرمني
aramram	عرمرم
aksetme	عكس ايتمه
kuvvetsiz	قوتسز
rahat-ı dil	راحت دل
biner	بينر
esendağ	اسن طاغ
mürea	مرعه
harras	خراص
paye-dari	پايه داري
çayırlık	چاييرلق
apacı	آپ آجي
bulaşıkhane	بولاشيقخانه
takacı	طاقه جي
japon armudu	ژاپون آرمودي
abdülbari	عبد الباري
balek	بالك
tefric	تفريج
darüş-şafaka	دار الشفقه
freze	فره زه
nermsaz	نرمساز
halkalayış	حلقه لاييش
müzeyyelen	مذيلاً
alet-i musavvat	آلت مصوت
resmileşme	رسميلشمه
firazi	فرازي
mücevvef	مجوف
tedennüs	تدنس
kulak zarı	قولاق زاري
huz	خذ
şabac	شاباج
nehengan	نهنگان
sedefsi	صدفسي
kılavuzlama	قيلاووزلامه 
puside	پوسيده
muy-taban	موي تابان
şugl	شغل
rimelli	ريمللي
melab	ملعب
fıstıki makam	فستقي مقام
iltiyak	التياق
ısıtma	ايصيتمه 
evkar	اوكار
mefkud	مفقود
kavkaa	قوقعه
raht	رخت
çetr-i anberin	چتر عنبرين
canla başla	جانله باشله
palide	پاليده
şifte-dil	شيفته دل
muahharen	مؤخرًا
su rezenesi	صو رزنه سي
berumend	برومند
silvan	سيلوان
karalayış	قره لاييش
hapsetmek	حبس ايتمك
hıkf	حقف
ifrac	افراج
çeşitlemek	چشيتله مك
senelik	سنه لك
düşman ağzı	دوشمان آغزي
püşt	پشت
uzzal acem	عزال عجم
bamdadi	بامدادي
abi	آغابگ
kıyadet	قيادت
elbise	البسه
icaz-ı muhill	ايجاز مخل
tem	تم
sarıfiğ	صاري فيگ
mürevva	مروع
solgunluk	صولغونلق
sodyumlu	سوديوملي
dolaylı vergi	طولايلي ويرگي
sayime	سايمه
necil	نجيل
sura	صوره
şehamet	شهامت
mutaf	مطاف
amfor	آمفور
tekasüm	تقاسم
velayet-i tedib	ولايت تأديب
iç oğlanı	ايچ اوغلاني
yine	ينه
kaviş	كاوش
serveran	سروران
muharribin	مخربين
tezevvüc	تزوج
ak asma	آق آصمه
celenza	جلنظا 
şehirleşmek	شهرلشمك
densizlik	دڭسزلك
şaşalatmak	شاشالاتمق
itisab	اعتصاب
tekaz	تقاض
hetma	هتما
istişmam	استشمام
kan akçesi	قان آقچه سي
yüz binlerce	يوز بيڭلرجه
mülahi	ملاحي
ümmüd-dimağ	ام الدماغ
karık	قاريق
yalıncak	يالينجق
müntif	منتف
belgelenmek	بلگه لنمك
amipli	آميپلي
musırat	معصرات
yaratılma	ياراتيلمه 
tevarüs etmek	توارث ايتمك
küfeci	كوفه جي
hakr	حقر
mütevellit	متولد
aks-i kaziye	عكس قضيه
habhabi	خبخابي
skink	سكينك
taaffüf	تعفف
insat	انصات
bağlık bahçelik	باغلق باغچه لك
ulviyan	علويان
talan-ger	تالانگر
pergul	پرغول
acasa	عجاسا
lüab-ı ankebut	لعاب عنكبوت
bed-hah	بد خواه
sırtar balığı	صيرتار باليغي
buule	بعوله
anil-gıyab	عن الغياب
mayalandırma	مايه لانديرمه 
daviye	داويه
yöneltilmek	يوڭلتيلمك
mücevvez	مجوز
tiltile	تلتله
hiras	هراس
hibas	حباس
çimdik	چيمديك
taşıt	طاشيت
gırtlak ünsüzü	غيرتلاق أوڭسزي
gepegenç	گپه گنچ
eklemlenmek	اكلملنمك
ızram	اضرام
kabakgiller	قباقگيللر
hukuksal	حقوقسال
harıltı	خاريلتي
çentiklenmek	چنتيكلنمك
külam	كلام
hareket-i müstakime	حركت مستقيمه
bume	بومه
takır takır	طاقير طاقير
mevhube	موهوبه
teşbik	تشبيك
amaç	آماچ
ilan-name	اعلاننامه
ermel	ارمل
nihayetün-nihaye	نهايت النهايه
yaralama	ياره لامه 
armağan	آرمغان
bernik	برنيق
sermaye	سرمايه
muavvezeteyn	معوذتين
dezavantaj	دزآوانتاژ
mesrude	مسروده
illet	علت
müfecci	مفجع
azf	عزف
mazhar-ı ilham	مظهر الهام
palazlaşmak	پالازلاشمق
mübalat-kar	مبالاتكار
tegazguz	تغضغض
sahib-huruc	صاحب خروج
nevhayat	نوحيات
oymak	اويماق
nümayan	نمايان
gencelmek	گنجلمك
eviye	اوعيه
midfa	مدفع
iletişme	ايلتيشمه
ihtimalat-ı karibe	احتمالات قريبه
mina	مينا
fedk	فدك
ilbas	الباث
akhisar	آق حصار
sefaret-hane	سفارتخانه
kamyoncu	قاميونجي
servakt	سروقت
bombacı	بومبه جي
okşamalık	اوخشامه لق
kaz	قاز
rabbi yessir vela tüassir	رب يسر ولا تعسر
anıtlaştırılmak	آڭيتلاشديريلمق
düzgülü	دوزگولي
altunay	آلتون آي
suçlamak	صوچلامق
vefl	وفل
hazra	حزرا
cibve	جبوه
müşafehe	مشافهه
aş-pez	آشپز
memzuc	ممزوج
kaburga	قابورغه
tecahül-i arifane	تجاهل عارفانه
burgu	بورغو
dele	دله
zahire	زاهره
öküzdili	أوكوز ديلي
leyli meccani	ليلي مجاني
kuvvet komutanları	قوت قوموتانلري
kaml	قمل
adab	آداب
azm-i kasaba	عظم قصبه
şüceyre	شجيره
semerletmek	سمرلتمك
salisilik	ساليسيليك
güvarende	گوارنده
birleşik oturum	برلشيك اوتوروم
sayıklama	صاييقلامه 
yasem	ياسم
cemetme	جمع ايتمه
elfida	الفدا
mevzuat-ı beşer	موضوعات بشر
huruf-ı hafife	حروف خفيفه
homurtusuz	خومورتيسز
mezg	مضغ
ittisaf	اتصاف
kem-baha	كم بها
telvik	تلويق
avlu	آولي
kuzze	قذه
balkanlı	بالقانلي
hükm-i hümayun	حكم همايون
der-tesbih	درتسبيح
gaçko	غاچقو
büjul	بژول
hüccet-i dafia	حجت دافعه
dabt	ضبط
boncukluk	بونجوقلق
menedilmek	منع ايديلمك
akhan	آق خان
çingenece	چنگانه جه
hanımnine	خانم نينه
ömürsüz	عمرسز
kucaklanma	قوجاقلانمه 
mankafa	مان قفا
vınlamak	وينلامق
dürtü	دورتي
hindistan cevizi	هندستان جوزي
feragatli	فراغتلي
köpekleme	كوپكله مه
cin mısırı	جن مصري
naibli maa sisorta	نائبلو معه سيس اورته
bilginlik	بيلگينلك
kadim	قادم
meunet	مئونت
daire-i vücud	دائرۀ وجود
bin	بين
basiret-kar	بصيرتكار
uztaş	اوز طاش
balinalar	بالينه لر
eran	ارعن
halal	خلال
tophane	طوپخانه
havacib	حواجب
vuu	وعوع
domur domur	طومور طومور
mevzusuz	موضوعسز
kadiye	كاديه
iare	اعاره
